Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 64.0.3282.186,,2018-03-07 11:20:02,2018-03-07 11:20:52,"49,979s",FAILED
,,,,,,
Test Cases/Login/Login valido,Chrome 64.0.3282.186,,2018-03-07 11:20:03,2018-03-07 11:20:52,"48,576s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-07 11:20:04,2018-03-07 11:20:09,"5,436s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-07 11:20:09,2018-03-07 11:20:17,"7,600s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-07 11:20:17,2018-03-07 11:20:18,"1,159s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 11:20:18,2018-03-07 11:20:18,"0,176s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 11:20:18,2018-03-07 11:20:18,"0,243s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 11:20:18,2018-03-07 11:20:18,"0,156s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 11:20:18,2018-03-07 11:20:20,"1,383s",PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-07 11:20:20,2018-03-07 11:20:20,"0,106s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-07 11:20:20,2018-03-07 11:20:52,"31,635s",FAILED
