Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 64.0.3282.186,,2018-03-06 13:18:09,2018-03-06 13:19:16,"1m - 6,894s",PASSED
,,,,,,
Test Cases/Login valido,Chrome 64.0.3282.186,,2018-03-06 13:18:09,2018-03-06 13:19:06,"56,825s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 13:18:10,2018-03-06 13:18:15,"5,210s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 13:18:15,2018-03-06 13:18:19,"3,837s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:18:19,2018-03-06 13:18:20,"0,285s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:18:20,2018-03-06 13:18:20,"0,246s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:18:20,2018-03-06 13:18:20,"0,158s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:18:20,2018-03-06 13:18:21,"1,098s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-06 13:18:21,2018-03-06 13:18:32,"10,653s",PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-06 13:18:32,2018-03-06 13:19:06,"33,796s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-06 13:19:06,2018-03-06 13:19:06,"0,715s",PASSED
,,,,,,
Test Cases/Login invalido,Chrome 64.0.3282.186,,2018-03-06 13:19:06,2018-03-06 13:19:15,"9,120s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 13:19:07,2018-03-06 13:19:09,"2,197s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 13:19:09,2018-03-06 13:19:13,"4,285s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:19:13,2018-03-06 13:19:13,"0,109s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:19:13,2018-03-06 13:19:13,"0,149s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:19:13,2018-03-06 13:19:14,"0,143s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:19:14,2018-03-06 13:19:15,"1,067s",PASSED
verifyTextNotPresent,Chrome 64.0.3282.186,,2018-03-06 13:19:15,2018-03-06 13:19:15,"0,131s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-06 13:19:15,2018-03-06 13:19:15,"0,681s",PASSED
