Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 64.0.3282.186,,2018-03-07 11:23:01,2018-03-07 11:23:31,"29,955s",PASSED
,,,,,,
Test Cases/Login/Login invalido,Chrome 64.0.3282.186,,2018-03-07 11:23:02,2018-03-07 11:23:16,"14,692s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-07 11:23:03,2018-03-07 11:23:07,"4,227s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-07 11:23:07,2018-03-07 11:23:12,"5,621s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-07 11:23:12,2018-03-07 11:23:14,"1,206s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 11:23:14,2018-03-07 11:23:14,"0,232s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 11:23:14,2018-03-07 11:23:14,"0,180s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 11:23:14,2018-03-07 11:23:14,"0,175s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 11:23:14,2018-03-07 11:23:15,"1,082s",PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-07 11:23:15,2018-03-07 11:23:15,"0,070s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-07 11:23:15,2018-03-07 11:23:16,"1,171s",PASSED
,,,,,,
Test Cases/Login/Login valido,Chrome 64.0.3282.186,,2018-03-07 11:23:16,2018-03-07 11:23:31,"14,531s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-07 11:23:17,2018-03-07 11:23:19,"2,099s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-07 11:23:19,2018-03-07 11:23:23,"4,056s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-07 11:23:23,2018-03-07 11:23:24,"1,132s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 11:23:24,2018-03-07 11:23:24,"0,116s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 11:23:24,2018-03-07 11:23:24,"0,211s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 11:23:24,2018-03-07 11:23:25,"0,192s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 11:23:25,2018-03-07 11:23:29,"4,263s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-07 11:23:29,2018-03-07 11:23:29,"0,105s",PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-07 11:23:29,2018-03-07 11:23:29,"0,071s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-07 11:23:29,2018-03-07 11:23:31,"2,023s",PASSED
