Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 64.0.3282.186,,2018-03-19 21:00:38,2018-03-19 21:02:31,"1m - 52,868s",FAILED
,,,,,,
Test Cases/Login/Login invalido,Chrome 64.0.3282.186,,2018-03-19 21:00:40,2018-03-19 21:01:55,"1m - 14,640s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-19 21:00:41,2018-03-19 21:01:10,"28,413s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-19 21:01:10,2018-03-19 21:01:13,"3,863s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-19 21:01:13,2018-03-19 21:01:15,"1,241s",PASSED
click,Chrome 64.0.3282.186,,2018-03-19 21:01:15,2018-03-19 21:01:20,"5,386s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 21:01:20,2018-03-19 21:01:20,"0,327s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 21:01:20,2018-03-19 21:01:21,"0,873s",PASSED
click,Chrome 64.0.3282.186,,2018-03-19 21:01:21,2018-03-19 21:01:22,"1,159s",PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-19 21:01:22,2018-03-19 21:01:55,"32,392s",FAILED
,,,,,,
Test Cases/Login/Login valido,Chrome 64.0.3282.186,,2018-03-19 21:01:55,2018-03-19 21:02:30,"35,133s",FAILED
openBrowser,Chrome 64.0.3282.186,,2018-03-19 21:01:55,2018-03-19 21:02:04,"8,365s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-19 21:02:04,2018-03-19 21:02:14,"10,149s",PASSED
maximizeWindow,Chrome 64.0.3282.186,,2018-03-19 21:02:14,2018-03-19 21:02:15,"1,140s",PASSED
click,Chrome 64.0.3282.186,,2018-03-19 21:02:15,2018-03-19 21:02:20,"5,137s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 21:02:20,2018-03-19 21:02:20,"0,201s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-19 21:02:20,2018-03-19 21:02:20,"0,184s",PASSED
click,Chrome 64.0.3282.186,,2018-03-19 21:02:20,2018-03-19 21:02:28,"8,149s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-19 21:02:28,2018-03-19 21:02:29,"0,212s",PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-19 21:02:29,2018-03-19 21:02:30,"1,251s",FAILED
