Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Login,Chrome 64.0.3282.186,,2018-03-06 13:24:19,2018-03-06 13:24:42,"23,061s",PASSED
,,,,,,
Test Cases/Login valido,Chrome 64.0.3282.186,,2018-03-06 13:24:19,2018-03-06 13:24:33,"13,461s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 13:24:20,2018-03-06 13:24:24,"3,726s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 13:24:24,2018-03-06 13:24:27,"3,562s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:24:27,2018-03-06 13:24:27,"0,285s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:24:27,2018-03-06 13:24:28,"0,342s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:24:28,2018-03-06 13:24:28,"0,190s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:24:28,2018-03-06 13:24:32,"3,713s",PASSED
waitForElementVisible,Chrome 64.0.3282.186,,2018-03-06 13:24:32,2018-03-06 13:24:32,"0,140s",PASSED
verifyElementText,Chrome 64.0.3282.186,,2018-03-06 13:24:32,2018-03-06 13:24:32,"0,084s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-06 13:24:32,2018-03-06 13:24:33,"0,758s",PASSED
,,,,,,
Test Cases/Login invalido,Chrome 64.0.3282.186,,2018-03-06 13:24:33,2018-03-06 13:24:42,"8,895s",PASSED
openBrowser,Chrome 64.0.3282.186,,2018-03-06 13:24:33,2018-03-06 13:24:35,"2,320s",PASSED
navigateToUrl,Chrome 64.0.3282.186,,2018-03-06 13:24:35,2018-03-06 13:24:39,"3,666s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:24:39,2018-03-06 13:24:39,"0,139s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:24:39,2018-03-06 13:24:39,"0,256s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-06 13:24:39,2018-03-06 13:24:40,"0,177s",PASSED
click,Chrome 64.0.3282.186,,2018-03-06 13:24:40,2018-03-06 13:24:41,"1,109s",PASSED
verifyElementPresent,Chrome 64.0.3282.186,,2018-03-06 13:24:41,2018-03-06 13:24:41,"0,085s",PASSED
closeBrowser,Chrome 64.0.3282.186,,2018-03-06 13:24:41,2018-03-06 13:24:42,"0,732s",PASSED
