Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Employee,Chrome 64.0.3282.186,,2018-03-07 13:40:47,2018-03-07 13:41:14,"26,580s",PASSED
,,,,,,
Test Cases/Employee/AddEmployee,Chrome 64.0.3282.186,,2018-03-07 13:40:48,2018-03-07 13:41:14,"25,843s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-07 13:40:49,2018-03-07 13:41:03,"13,895s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 13:41:03,2018-03-07 13:41:05,"1,997s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 13:41:05,2018-03-07 13:41:06,"1,433s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:41:06,2018-03-07 13:41:06,"0,140s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:41:06,2018-03-07 13:41:06,"0,130s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:41:06,2018-03-07 13:41:07,"0,102s",PASSED
check,Chrome 64.0.3282.186,,2018-03-07 13:41:07,2018-03-07 13:41:07,"0,154s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:41:07,2018-03-07 13:41:07,"0,135s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 13:41:07,2018-03-07 13:41:07,"0,163s",PASSED
setText,Chrome 64.0.3282.186,,2018-03-07 13:41:07,2018-03-07 13:41:07,"0,162s",PASSED
selectOptionByValue,Chrome 64.0.3282.186,,2018-03-07 13:41:07,2018-03-07 13:41:07,"0,156s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 13:41:07,2018-03-07 13:41:12,"4,308s",PASSED
verifyElementVisible,Chrome 64.0.3282.186,,2018-03-07 13:41:12,2018-03-07 13:41:12,"0,082s",PASSED
callTestCase,Chrome 64.0.3282.186,,2018-03-07 13:41:12,2018-03-07 13:41:14,"2,146s",PASSED
