Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Employee,Chrome 64.0.3282.186,,2018-03-07 13:48:26,2018-03-07 13:49:17,"51,013s",FAILED
,,,,,,
Test Cases/Employee/AddEmployee,Chrome 64.0.3282.186,,2018-03-07 13:48:27,2018-03-07 13:49:17,"49,690s",FAILED
callTestCase,Chrome 64.0.3282.186,,2018-03-07 13:48:28,2018-03-07 13:48:42,"13,834s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 13:48:42,2018-03-07 13:48:45,"3,534s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 13:48:45,2018-03-07 13:48:46,"0,854s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:48:46,2018-03-07 13:48:46,"0,145s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:48:46,2018-03-07 13:48:47,"0,132s",PASSED
sendKeys,Chrome 64.0.3282.186,,2018-03-07 13:48:47,2018-03-07 13:48:47,"0,109s",PASSED
"Statement - If (CreateLoginDetails == ""yes"")",Chrome 64.0.3282.186,,2018-03-07 13:48:47,2018-03-07 13:48:47,"0,710s",PASSED
click,Chrome 64.0.3282.186,,2018-03-07 13:48:47,2018-03-07 13:48:49,"1,090s",PASSED
verifyElementVisible,Chrome 64.0.3282.186,,2018-03-07 13:48:49,2018-03-07 13:49:17,"28,242s",FAILED
